Galaxy Type N_GC N_GC_err Mdyn MBH sig_e err_sig_e A_V MV_T err_MV_T MK Re upMBH lowMBH
NGC4033        E                160             15          10.408         NA             143.2          12.3           0.157          -20.08         0.37           -22.939        1.34           NA             NA            
NGC4073        E               8300            500          11.383         NA             277.2           8.6           0.074          -23.29         0.20           -26.266        3.38           NA             NA            
IC3019         E                 26              6          NA             NA             NA             NA             0.106          -18.04         0.20           nd             nd             NA             NA            
IC3025         S0                21              6          NA             NA             NA             NA             0.058          -16.83         0.20           -19.005        nd             NA             NA            
NGC4150        S0                 7              4           9.899          0.00           85.0           8.4           0.060          -19.11         0.39           -21.708        1.18           6.38           0.00          
NGC4157        S                 80             20          10.300         NA              90.1           4.3           0.071          -19.66         0.20           -23.586        2.64           NA             NA            
IC3032         E                  2              4          NA             NA             NA             NA             0.101          -16.39         0.20           -18.727        nd             NA             NA            
NGC4163        Irr                2              2          NA             NA             NA             NA             0.054          -14.21         0.20           -14.954        0.38           NA             NA            
KKH-77         Irr                2              2          NA             NA             NA             NA             0.051          -14.58         0.20           nd             0.47           NA             NA            
NGC4203        E                175            100          10.563          0.00          162.4           5.9           0.040          -20.08         0.42           -23.499        1.49           8.08           0.00          
IC3065         S0                21              6          NA             NA             NA             NA             0.098          -17.51         0.20           nd             nd             NA             NA            
VCC-158        E                 10              5          NA             NA             NA             NA             0.108          -15.98         0.20           nd             nd             NA             NA            
NGC4216        S                620            310          11.036         NA             206.8           9.6           0.087          -21.81         0.20           -24.506        2.73           NA             NA            
VCC-200        E                 16              6          NA             NA             NA             NA             0.084          -17.12         0.20           -18.800        nd             NA             NA            
IC3101         E                 29              7          NA             NA             NA             NA             0.076          -16.21         0.20           -18.345        nd             NA             NA            
VCC-240        E                  8              5          NA             NA             NA             NA             0.090          -13.61         0.20           nd             0.45           NA             NA            
IC3131         E                  8              3          NA             NA             NA             NA             0.058          -17.60         0.20           -21.128        nd             NA             NA            
NGC4261        E               1242            250          11.836          8.71          315.0          15.0           0.060          -22.14         0.21           -25.143        7.42           0.08           0.09          
NGC4262        S0               100             31          10.441         NA             189.7          14.3           0.116          -19.51         0.20           -22.597        0.82           NA             NA            
UGC-7369       E                 22              7          NA             NA             NA             NA             0.053          -16.17         0.20           -18.534        0.84           NA             NA            
NGC4267        S0               179             17          10.905         NA             164.7           5.3           0.157          -20.22         0.20           -23.171        3.18           NA             NA            
NGC4278        E               1100            300          11.147          0.00          237.2           5.2           0.095          -20.97         0.34           -23.856        2.68           8.23           0.00          
